"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"City of Durham","NH3.3SC",2018-07-24,820,1.14,"1.21",4.9,"6.8",184,24.4,"13","0.83","<0.04","--",0.85,"--",0.09,"2018"
"City of Durham","NH3.3SC",2018-08-21,845,3.59,"2.97",5.9,"6.8",152,24.9,"15.3","E1.31","0.31","--",NA,"--",0.065,"2018"
"City of Durham","NH3.3SC",2018-09-25,840,5.12,"5.32",NA,"6.5",237,21.9,"5.4","0.39","0.29","--",0.68,"--",0.05,"2018"
"City of Durham","NH3.3SC",2018-10-16,830,3.49,"3.49",7.2,"6.2",225,19.1,"6.8","0.54","0.26","--",0.8,"--",0.06,"2018"
"City of Durham","NH3.3SC",2018-11-13,830,81.6,"203",11,"5.7",87,10.7,"93.3","1.05","0.61","--",1.66,"--",0.105,"2018"
"City of Durham","NH3.3SC",2018-12-12,830,14,"17.6",12.1,"6.2",411,4.1,"21.4","0.49","0.39","--",0.88,"--",0.09,"2018"
"City of Durham","NH3.3SC",2019-01-22,925,4.2,"4.39",4.7,"7.3",268,1.7,"13.1","0.92","0.46","--",1.38,"--",0.07,"2019"
"City of Durham","NH3.3SC",2019-02-19,850,6.46,"11.4",9.7,"6.7",199,7.7,"26.2","0.65","0.46","--",1.11,"--",0.1,"2019"
"City of Durham","NH3.3SC",2019-03-19,855,2.1,"2.25",10.2,"7.2",242,9.5,"11.5","0.54","0.15","--",0.69,"--",0.1,"2019"
"City of Durham","NH3.3SC",2019-04-16,850,6.46,"6.03",8.3,"7.2",185,13.9,"28.4","0.76","0.22","--",0.98,"--",0.14,"2019"
"City of Durham","NH3.3SC",2019-05-21,835,0.82,"1.15",5.5,"6.9",305,21,"7.9","0.62","0.36","--",0.98,"--",0.14,"2019"
"City of Durham","NH3.3SC",2019-06-18,900,0.71,"11.4",6.3,"7.2",257,23.3,"7.1","0.45","0.15","--",0.6,"--",0.07,"2019"
"City of Durham","NH3.3SC",2019-07-23,835,36.9,"140",6.8,"6.5",108,25.2,"100","0.78","0.49","--",1.27,"--",0.3,"2019"
"City of Durham","NH3.3SC",2019-08-27,920,0.54,"0.51",6.3,"6.6",183,21.7,"6.3","0.42","0.45","--",0.87,"--",0.08,"2019"
"City of Durham","NH3.3SC",2019-09-17,850,0.23,"0.22",5.4,"6.9",254,22.3,"2.6","0.35","0.26","--",0.61,"--",0.18,"2019"
"City of Durham","NH3.3SC",2019-10-15,850,0.54,"0.42",5.6,"6.8",237,15.3,"3.2","0.58","0.4","--",0.98,"--",0.07,"2019"
"City of Durham","NH3.3SC",2019-11-19,845,2.81,"2.81",8.8,"6.6",180,9.2,"E15.7","0.5","0.26","--",0.76,"--",0.08,"2019"
